Metric,Value
Accuracy,1.0
Precision,"[0.07418839 0.12063197 0.12263794 0.12633833 0.12821019 0.12823553
 0.12831159 0.12902584 0.12907717 0.13392489 0.13400785 0.13495529
 0.13518017 0.1353211  0.1381733  0.13832055 0.13840904 0.13918078
 0.13933018 0.13941998 0.13947991 0.13953988 0.13959991 0.13962995
 0.13966    0.13996118 0.13999137 0.14002157 0.14023336 0.14029399
 0.14062839 0.14068936 0.14078091 0.14081146 0.14090317 0.14093377
 0.14096438 0.140995   0.14102564 0.14108696 0.14111763 0.14117903
 0.14120975 0.14124048 0.14396628 0.14844465 0.14929837 0.14950472
 0.15009251 0.15093023 0.15096534 0.15103561 0.15110594 0.15317442
 0.15357312 0.15386439 0.15478178 0.15485564 0.15522602 0.15548634
 0.15556088 0.15615977 0.15623495 0.15699081 0.15744784 0.15756252
 0.15783074 0.15809988 0.15817694 0.1582155  0.15829268 0.15848596
 0.1585634  0.15860215 0.15864092 0.15899069 0.15910762 0.15914664
 0.15918568 0.15922473 0.1592638  0.1593029  0.15942029 0.15953786
 0.16028649 0.16032609 0.1603657  0.16040534 0.16044499 0.16048467
 0.16056408 0.16068334 0.16072313 0.16084263 0.1608825  0.16092239
 0.16104218 0.16108215 0.16116216 0.16128231 0.16136251 0.16140264
 0.16152315 0.16176471 0.16233117 0.16237178 0.16245307 0.16249374
 0.16472081 0.16476263 0.16501398 0.16543462 0.1654768  0.16564574
 0.16577267 0.16581502 0.16722494 0.16726804 0.16870289 0.16879064
 0.16901042 0.16923077 0.16927491 0.16931907 0.16958453 0.16993977
 0.16998428 0.17092441 0.17096944 0.17119494 0.17155697 0.17160233
 0.17173856 0.17182949 0.171875   0.17192053 0.17201166 0.17237716
 0.17260638 0.17269824 0.17292832 0.17306667 0.17311283 0.17325147
 0.17329773 0.17357582 0.1737152  0.17385481 0.173948   0.17531064
 0.17607162 0.1761194  0.17650258 0.1765506  0.17659864 0.17674292
 0.17679107 0.17688744 0.17693566 0.17698391 0.17703219 0.17708049
 0.1773224  0.17737087 0.17741935 0.18442739 0.18463727 0.18474239
 0.19286776 0.19298246 0.19303986 0.19321227 0.19355801 0.19361575
 0.19367353 0.19373134 0.19390499 0.19425322 0.19431138 0.19436957
 0.1944278  0.19448607 0.1946027  0.19466107 0.19477791 0.19483639
 0.19559976 0.19565873 0.19571773 0.19577677 0.19583585 0.19619105
 0.19625038 0.20167806 0.20174075 0.20655633 0.20915243 0.20942239
 0.20976083 0.21050924 0.21057755 0.21071429 0.2108512  0.21504307
 0.21511435 0.21518568 0.21525705 0.21896086 0.2207483  0.22119973
 0.22127514 0.2244898  0.22464521 0.22511273 0.22534722 0.22542549
 0.22550382 0.2255822  0.22597493 0.2262901  0.22644801 0.23178571
 0.23195139 0.23211731 0.23261649 0.23286688 0.23336929 0.23480463
 0.23497466 0.23514493 0.2354008  0.23574283 0.23582849 0.23608585
 0.23634377 0.23825257 0.23834007 0.23877851 0.23895434 0.23921858
 0.23930678 0.23939506 0.2395718  0.24001479 0.24019245 0.24028138
 0.240727   0.24099517 0.2410847  0.24117428 0.24162323 0.24171322
 0.24180328 0.2418934  0.24216418 0.24225457 0.24234503 0.24243556
 0.24316223 0.24334458 0.24416855 0.24426044 0.24462872 0.24472097
 0.24481328 0.24490566 0.24499811 0.24509063 0.24942352 0.24971143
 0.24980754 0.24990374 0.25       0.25106383 0.25116099 0.25125823
 0.25135554 0.25145293 0.25155039 0.25164793 0.25174554 0.25184323
 0.25194099 0.25203883 0.25223475 0.25243096 0.25252918 0.25262748
 0.25272586 0.25292284 0.25302144 0.25331772 0.25371384 0.25381306
 0.25581395 0.25652174 0.25662317 0.25672468 0.25692795 0.2570297
 0.25723345 0.25733545 0.25743752 0.25753968 0.25815434 0.26095698
 0.261167   0.26127214 0.26137737 0.26148268 0.26222222 0.26296596
 0.26307256 0.26317924 0.26382114 0.26392843 0.26414326 0.26425081
 0.26446618 0.26457399 0.26996672 0.2718894  0.27200335 0.27223154
 0.27291842 0.27314815 0.27326316 0.27349347 0.27453469 0.27465087
 0.275      0.27523325 0.27535002 0.27593537 0.27617021 0.27640545
 0.27664109 0.27675906 0.27687713 0.27699531 0.27901978 0.28960286
 0.28973214 0.28986155 0.2905103  0.29221072 0.29234234 0.29273793
 0.2931346  0.29326706 0.29366516 0.2937981  0.29406434 0.29419764
 0.29459828 0.29473206 0.29486597 0.29935424 0.30032392 0.30046296
 0.30102041 0.30270522 0.30284648 0.30298786 0.30341281 0.30598774
 0.30642115 0.30671078 0.30685579 0.30700095 0.30772878 0.30787476
 0.30802088 0.30846008 0.30860675 0.30875357 0.3096374  0.3097852
 0.30993314 0.31008122 0.31097269 0.31127098 0.31216931 0.31231954
 0.31246991 0.31277108 0.31292189 0.31322394 0.31428571 0.31550802
 0.31581509 0.31612275 0.31735941 0.31844946 0.31907571 0.31923266
 0.31938976 0.31954702 0.31970443 0.319862   0.32001972 0.32065217
 0.32081068 0.32096934 0.32112815 0.32160555 0.321765   0.32224429
 0.32240437 0.32256461 0.32272501 0.32369077 0.3238523  0.32417582
 0.32433783 0.32482482 0.32498748 0.3251503  0.32563974 0.32580321
 0.32596685 0.32613065 0.32629462 0.32711694 0.3272819  0.32744702
 0.3281092  0.32827516 0.3284413  0.32860759 0.3289407  0.32927448
 0.32944162 0.32960894 0.32977642 0.3301119  0.3306164  0.33078491
 0.3309536  0.33179959 0.33230927 0.33316222 0.33333333 0.33350462
 0.34484591 0.34502924 0.34521277 0.3455804  0.34836286 0.38221437
 0.3824396  0.41232529 0.42725477 0.42753623 0.43821742 0.43851351
 0.44059742 0.44089674 0.44727774 0.44882434 0.45480028 0.45511921
 0.4609375  0.48396719 0.48505232 0.5042735  0.50466563 0.50505837
 0.50584567 0.50663544 0.50782473 0.50901961 0.51022013 0.51062156
 0.51142632 0.51223362 0.5138559  0.51426307 0.51630867 0.51671975
 0.51713147 0.5179569  0.51878497 0.5192     0.52128514 0.52296535
 0.5233871  0.52508091 0.52678571 0.52721365 0.52764228 0.5280716
 0.52850163 0.52936378 0.52979592 0.53022876 0.53066231 0.53109656
 0.5350371  0.54492024 0.54675653 0.54721754 0.54906937 0.54953429
 0.5504665  0.55140187 0.55187075 0.55328218 0.55375427 0.55422716
 0.55565068 0.55612682 0.55660377 0.55708155 0.55756014 0.55803955
 0.55900086 0.55948276 0.55996549 0.56044905 0.56093345 0.56287944
 0.56336806 0.56434783 0.56533101 0.56582389 0.56631763 0.56681223
 0.56730769 0.57029877 0.57231041 0.57382847 0.57433628 0.57688889
 0.57843137 0.57894737 0.57998213 0.58050089 0.58206278 0.58258528
 0.59       0.59161349 0.59323583 0.59377859 0.59432234 0.59486709
 0.59541284 0.59705612 0.60037003 0.60372093 0.60428305 0.60597572
 0.60996241 0.61053622 0.61111111 0.61168709 0.61226415 0.61342155
 0.61458333 0.61516588 0.61574953 0.61633428 0.61868446 0.61986628
 0.62644788 0.62705314 0.62765957 0.62826718 0.62887597 0.63009709
 0.64193867 0.64257426 0.64448858 0.64577114 0.64641434 0.64964965
 0.6503006  0.65095286 0.65291751 0.65357503 0.65423387 0.65555556
 0.6562184  0.65688259 0.65821501 0.65888325 0.65955285 0.6602238
 0.66089613 0.66632444 0.66976264 0.67045455 0.67114788 0.67184265
 0.67393562 0.67533819 0.67604167 0.67674661 0.67745303 0.67816092
 0.68677249 0.6875     0.68822906 0.68895966 0.69116081 0.69709989
 0.69935345 0.70851528 0.71006565 0.71084337 0.71318681 0.71475771
 0.71554576 0.72031077 0.72111111 0.72191324 0.72271715 0.72352285
 0.72433036 0.72595078 0.72757848 0.72839506 0.72921348 0.73085586
 0.73250564 0.74171429 0.74256293 0.74855825 0.75377468 0.75465116
 0.75552969 0.75641026 0.75729288 0.75817757 0.78192771 0.78287093
 0.78381643 0.79049939 0.79146341 0.79339853 0.79436965 0.79534314
 0.79631902 0.7972973  0.80421314 0.80521092 0.8102372  0.81125
 0.81226533 0.81328321 0.81430364 0.8184111  0.8204804  0.8225602
 0.83311938 0.83850129 0.83958603 0.84176394 0.84615385 0.84725849
 0.84836601 0.85058978 0.85960265 0.86418109 0.86533333 0.87231183
 0.87348587 0.87584345 0.87702703 0.8878249  0.89148352 0.89270977
 0.89393939 0.89640884 0.89764869 0.9001387  0.90264256 0.90769231
 0.90896359 0.91151685 0.91279887 0.92056738 0.94057971 0.94331395
 0.94606414 0.94744526 0.94883041 0.95021962 0.95581738 0.95722714
 0.96290801 0.96721311 0.96865672 0.97010463 0.97155689 0.97593985
 0.97740964 0.97888386 0.98184569 0.98333333 0.98482549 0.98632219
 0.98782344 0.99083969 0.99235474 0.99387443 0.99846154 1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.        ]"
Recall,"[1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 0.99845917 0.99691834 0.9953775  0.99383667 0.99229584 0.99075501
 0.98921418 0.98767334 0.98305085 0.98151002 0.97996918 0.97842835
 0.97688752 0.97380586 0.97226502 0.96918336 0.96764253 0.96456086
 0.96302003 0.9614792  0.9568567  0.95531587 0.95377504 0.95223421
 0.93836672 0.93682589 0.88751926 0.84283513 0.83975347 0.83821263
 0.8366718  0.82588598 0.82434515 0.82126348 0.81972265 0.81818182
 0.80739599 0.80431433 0.79969183 0.79352851 0.78274268 0.77503852
 0.76579353 0.76117103 0.75192604 0.74114022 0.71802773 0.70878274
 0.66101695 0.62557781 0.59322034 0.56856703 0.55315871 0.53620955
 0.51771957 0.50539291 0.4853621  0.47457627 0.46687211 0.42835131
 0.40523883 0.33127889 0.30662558 0.27580894 0.2742681  0.23266564
 0.22496148 0.20493066 0.17565485 0.17257319 0.13251156 0.1201849
 0.1155624  0.11248074 0.10169492 0.10015408 0.08936826 0.08782743
 0.08628659 0.0816641  0.08012327 0.07550077 0.        ]"
F1 Score,1.0
ROC AUC,1.0
